Carrier / MGA,Program/Product name,Paper,States available,Form code(s) & edition date,Specimen/wording PDF link,Product/coverage page link,Min/Max limit,Target segments,Notable features,Last verified date
Beazley,MediaTech (Technology E&O + Cyber),Surplus lines (non-admitted),Not specified (global),F00731 022019,https://www.beazley.com/globalassets/product-documents/policy-form/beazley-media-tech-policy-us.pdf,https://www.beazley.com/en-US/products/cyber-usa/mediatech/,Up to $25m/€25m/£15m,Technology & business service companies,"Claims-made policy; integrated technology E&O, media and cyber insuring agreements; unintentional breach‑of‑contract carve‑back; claims expenses erode limits; worldwide territory; includes breach response, regulatory defense, payment card liabilities, first party data & network loss, eCrime, Criminal reward",2025-09-17
Hiscox,Professional Liability (Technology Protection),Likely admitted (via Hiscox Insurance Company),Not specified (US),DPL P001 CW 01/10,https://www.hiscox.com/documents/pl-sample-policy-wording.pdf,https://www.hiscox.com/documents/brokers/tech/9896_us_technology_protection_factsheet.pdf,Up to $10m (min premium $999),"IT consultants, software/hardware suppliers, technology companies","Claims‑made E&O coverage; affirmative breach‑of‑contract coverage; broad IP infringement and media coverage; negligence for network security/privacy incidents; optional cyber modules (breach costs, privacy liability, hacker damage, business interruption, extortion); risk management and breach response services",2025-09-17
Travelers,CyberRisk with Technology E&O,Admitted (Travelers Casualty & Surety Company),Not specified (US),CYB‑16001 Rev 06‑20 (base form),https://rowritersins.com/wp-content/uploads/2020/08/Travelers-Form-1.pdf,https://www.travelers.com/business-insurance/cyber-insurance/technology,Variable (customizable),Technology and professional services companies seeking cyber and E&O coverage,"Modular policy combining cyber and technology E&O; covers claims arising from errors, omissions or negligent acts; breach response, cybercrime and business loss coverage; pre‑breach and post‑breach services (risk assessments, training, incident response); tailored insuring agreements including E&O, cyber protection, business loss coverages",2025-09-17
Chubb,DigiTech Enterprise Risk Management (ERM),Likely surplus lines (Chubb Custom Insurance Company),Not specified (global),Not publicly listed,https://www.chubb.com/content/dam/chubb-sites/chubb-com/us-en/business-insurance/digitech-enterprise-risk-management-digitech-erm/documents/pdf/17010186-digitech-erm-12.17.pdf,https://www.chubb.com/us-en/business-insurance/products/cyber-insurance/cyber-insurance-products.html,Not specified (no minimum premium),"Technology firms seeking combined technology E&O and cyber cover, all sizes","Third‑party coverage for technology errors & omissions, privacy/security, payment card loss, regulatory proceedings and media liability; first‑party cover for incident response, business interruption, digital data recovery, telecom theft and extortion; optional cyber crime endorsements; broad customizable coverage and worldwide territory; neglected software exploit endorsement",2025-09-17
AXA XL,CyberRiskConnect (Technology & Cyber),"Surplus lines (AXA XL Catlin, various domestic carriers)",Not specified (US & global),TRD 050 0619,https://xaxl.com/-/media/axaxl/files/pdfs/insurance/cyber-north-america/cyberriskconnectpolicyform_axaxl_trd-050-0619.pdf,https://axaxl.com/insurance/products/cyber-insurance,"Up to $25M (E&O), Up to $15M (Cyber/Tech E&O/Media for 100M+ revenue companies)","Technology product and service providers, professional services firms, media companies, mid-sized and multinational companies","Combined professional liability and cyber coverage; insuring agreements for technology products/services, professional services, media, privacy and security liability; first‑party cover for data breach response, business interruption/extra expense, data recovery and cyber extortion; optional enhancements (PCI, social engineering, system failure, dependent BI); risk mitigation resources and access to breach response partners; customized coverage, primary and excess",2025-09-17
CNA,TechComplete / Enterprise Professional Solutions (EPS+),TechComplete (admitted); EPS+ (surplus lines),Not specified (US),"TechComplete Admitted 06/11, Enterprise Professional Solutions (EPS+) Non Admitted 06/11",https://www.cna.com/system/files/agentcenter/9ae05cc8-5d5f-4b16-a510-e909fc48da6f/TechSSTechCompleteAgents_CNA.pdf,https://www.cna.com/industries/technology,Not specified,"Cloud and SaaS providers, technology service providers, information technology, electronics manufacturing, telecom service providers","Coverage includes independent contractors as insureds; automatic inclusion of newly acquired subsidiaries; worldwide territory; automatic vicarious liability through contract; no exclusions for delay in delivery, support, maintenance or unauthorized access; coverage for deliberate acts by rogue employees; broad personal injury and media liability; network security & privacy injury not tied to professional services; privacy event expense, network extortion expense, business income (network dependency) and regulatory investigation expenses; Technology Errors & Omissions with Information Risk and Media Liability endorsements",2025-09-17
The Hartford,FailSafe Technology E&O,Admitted (Hartford Casualty or Hartford Fire Insurance Company),Not specified (US),Not publicly listed,https://assets.thehartford.com/image/upload/failsafe_overview_flyer.pdf,https://www.thehartford.com/professional-liability-insurance/errors-omissions-insurance/technology,Not specified (varies),"Technology companies, including software developers and service providers, IT service providers, hardware manufacturers, telecom carriers","Technology E&O suite providing E&O liability, security liability, data privacy and network security liability, personal injury liability, intellectual property liability and media liability; explains difference between cyber liability and E&O; emphasises broad 360‑degree protection",2025-09-17
Zurich North America,Pro Plus (Technology & Cyber),Admitted or surplus lines (global) depending on jurisdiction,Most states,Not publicly listed,https://edge.sitecorecloud.io/zurichinsura267-zwpzna-prod-c557/media/project/zurich-headless/zna/docs/kh/zws/pro-plus-sales-sheet.pdf,https://www.zurichna.com/industries/technology-insurance,Line size up to $20m or more,"Technology companies, from startups to global organisations, manufacturing, professional service industries","Modular professional liability and cyber product; broad coverage with no proof of negligence requirement; covers inadvertent release of trade secrets, software code infringement and media liability; includes breach response, business interruption, digital asset replacement, cyber extortion, system failure and social engineering; worldwide coverage; flexible modular format, duty to defend, defense costs for privacy-related regulatory proceedings, consumer-redress funds coverage, cyber security solutions",2025-09-17
Hanover,Technology Professional and Cyber Advantage (TPCA),Likely admitted (Hanover Insurance Company),Not specified (US),Document 114‑10155 (8/22),https://lakeside-insurance.com/wp-content/uploads/2023/08/TPCA-Coverage-Guide-114-10155.pdf,https://www.businessinsurance.com/hanover-unveils-eo-cyber-product/,"$25M for tech professional/third-party cyber, $10M for first-party cyber (includes unlimited extended reporting)",Enterprise technology companies requiring broad E&O and cyber cover,"Claims‑made coverage with enterprise‑wide definition; universal territory; limited notice requirement; pre‑claim assistance; duty‑to‑defend including injunctive relief; coverage for punitive damages; no contractual liability exclusion or hammer clause; covers damage to data and physical property, mental anguish, recall/withdrawal; automatic additional insureds; non‑binding arbitration reduces retention; unlimited extended reporting period; optional first‑party cyber coverage (breach costs, data restoration, cyber extortion, business income, contingent income, funds transfer fraud, reputational harm, system failure, social engineering, hardware replacement, system remediation, utility fraud, invoice manipulation); integrated E&O, cyber and privacy security liability, personal injury liability, media and content liability",2025-09-17
Markel,IT Professionals E&O / Cyber 360,Admitted or Lloyd's paper (Comtech) depending on jurisdiction,Not specified (global),Not publicly listed,https://content.markel.com/api/public/content/signed-miicl-stats-2023-final,https://www.markel.com/us/commercial/professional-and-management-liability/errors-and-omissions/it-professionals,Line sizes up to $20M on company or Lloyd's paper,"IT professionals, software/SaaS providers, hardware manufacturers, consultants and media companies, financial services, retail, manufacturing, technology, healthcare","Broad professional liability coverage for software, hardware and consulting services; includes risk management services (NetDiligence portal); offers combined professional indemnity, general liability and cyber coverage; covers privacy/data breach, IP infringement, libel/slander; flexible primary or excess placements; worldwide reach; technology professional liability covers errors, omissions, or misrepresentations in technology services, customizable cyber insurance policy",2025-09-17
